년월,자치구명,에너지바우처점수,최소에너지점수,연료비비율점수,점수합계,percent
201601,강남구,3,4,1,8,26.666666666666668
201601,강동구,2,5,1,8,26.666666666666668
201601,강북구,4,5,1,10,33.33333333333333
201601,강서구,6,5,1,12,40.0
201601,관악구,3,6,1,10,33.33333333333333
201601,광진구,1,5,1,7,23.333333333333332
201601,구로구,2,4,1,7,23.333333333333332
201601,금천구,2,2,1,5,16.666666666666664
201601,노원구,7,4,1,12,40.0
201601,도봉구,2,6,1,9,30.0
201601,동대문구,3,5,1,9,30.0
201601,동작구,2,5,1,8,26.666666666666668
201601,마포구,2,5,3,10,33.33333333333333
201601,서대문구,2,5,3,10,33.33333333333333
201601,서초구,1,6,3,10,33.33333333333333
201601,성동구,1,5,3,9,30.0
201601,성북구,3,6,2,11,36.666666666666664
201601,송파구,2,5,2,9,30.0
201601,양천구,2,4,3,9,30.0
201601,영등포구,2,3,5,10,33.33333333333333
201601,용산구,1,5,2,8,26.666666666666668
201601,은평구,5,6,2,13,43.333333333333336
201601,종로구,1,6,2,9,30.0
201601,중구,1,5,2,8,26.666666666666668
201601,중랑구,4,5,6,15,50.0
201602,강남구,3,5,7,15,50.0
201602,강동구,2,6,5,13,43.333333333333336
201602,강북구,4,6,5,15,50.0
201602,강서구,6,6,5,17,56.666666666666664
201602,관악구,3,5,5,13,43.333333333333336
201602,광진구,1,4,6,11,36.666666666666664
201602,구로구,2,1,10,13,43.333333333333336
201602,금천구,2,4,4,10,33.33333333333333
201602,노원구,7,6,4,17,56.666666666666664
201602,도봉구,2,6,5,13,43.333333333333336
201602,동대문구,3,5,5,13,43.333333333333336
201602,동작구,2,5,2,9,30.0
201602,마포구,2,5,2,9,30.0
201602,서대문구,2,6,2,10,33.33333333333333
201602,서초구,1,6,2,9,30.0
201602,성동구,1,6,2,9,30.0
201602,성북구,3,5,2,10,33.33333333333333
201602,송파구,2,4,2,8,26.666666666666668
201602,양천구,2,2,3,7,23.333333333333332
201602,영등포구,2,4,1,7,23.333333333333332
201602,용산구,1,5,1,7,23.333333333333332
201602,은평구,5,5,2,12,40.0
201602,종로구,1,5,2,8,26.666666666666668
201602,중구,1,7,4,12,40.0
201602,중랑구,4,7,4,15,50.0
201603,강남구,3,8,4,15,50.0
201603,강동구,2,8,4,14,46.666666666666664
201603,강북구,4,8,3,15,50.0
201603,강서구,6,8,3,17,56.666666666666664
201603,관악구,3,8,4,15,50.0
201603,광진구,1,6,6,13,43.333333333333336
201603,구로구,2,7,3,12,40.0
201603,금천구,2,8,3,13,43.333333333333336
201603,노원구,7,8,4,19,63.33333333333333
201603,도봉구,2,8,4,14,46.666666666666664
201603,동대문구,3,7,3,13,43.333333333333336
201603,동작구,2,7,3,12,40.0
201603,마포구,2,8,3,13,43.333333333333336
201603,서대문구,2,8,3,13,43.333333333333336
201603,서초구,1,8,2,11,36.666666666666664
201603,성동구,1,8,3,12,40.0
201603,성북구,3,7,3,13,43.333333333333336
201603,송파구,2,6,5,13,43.333333333333336
201603,양천구,2,8,2,12,40.0
201603,영등포구,2,8,2,12,40.0
201603,용산구,1,8,3,12,40.0
201603,은평구,5,8,3,16,53.333333333333336
201603,종로구,1,7,2,10,33.33333333333333
201603,중구,1,7,2,10,33.33333333333333
201603,중랑구,4,8,2,14,46.666666666666664
201604,강남구,3,8,2,13,43.333333333333336
201604,강동구,2,8,1,11,36.666666666666664
201604,강북구,4,8,1,13,43.333333333333336
201604,강서구,6,7,2,15,50.0
201604,관악구,3,5,3,11,36.666666666666664
201604,광진구,1,7,1,9,30.0
201604,구로구,2,8,1,11,36.666666666666664
201604,금천구,2,8,1,11,36.666666666666664
201604,노원구,7,8,2,17,56.666666666666664
201604,도봉구,2,7,1,10,33.33333333333333
201604,동대문구,3,7,1,11,36.666666666666664
201604,동작구,2,8,1,11,36.666666666666664
201604,마포구,2,8,1,11,36.666666666666664
201604,서대문구,2,8,1,11,36.666666666666664
201604,서초구,1,8,1,10,33.33333333333333
201604,성동구,1,8,1,10,33.33333333333333
201604,성북구,3,6,1,10,33.33333333333333
201604,송파구,2,7,1,10,33.33333333333333
201604,양천구,2,8,1,11,36.666666666666664
201604,영등포구,2,8,1,11,36.666666666666664
201604,용산구,1,7,1,9,30.0
201604,은평구,5,8,5,18,60.0
201604,종로구,1,8,5,14,46.666666666666664
201604,중구,1,9,4,14,46.666666666666664
201604,중랑구,4,9,4,17,56.666666666666664
201605,강남구,3,9,4,16,53.333333333333336
201605,강동구,2,9,4,15,50.0
201605,강북구,4,9,4,17,56.666666666666664
201605,강서구,6,8,6,20,66.66666666666666
201605,관악구,3,8,3,14,46.666666666666664
201605,광진구,1,9,3,13,43.333333333333336
201605,구로구,2,9,4,15,50.0
201605,금천구,2,9,4,15,50.0
201605,노원구,7,9,6,22,73.33333333333333
201605,도봉구,2,8,6,16,53.333333333333336
201605,동대문구,3,9,5,17,56.666666666666664
201605,동작구,2,9,5,16,53.333333333333336
201605,마포구,2,9,4,15,50.0
201605,서대문구,2,9,5,16,53.333333333333336
201605,서초구,1,9,5,15,50.0
201605,성동구,1,8,8,17,56.666666666666664
201605,성북구,3,9,4,16,53.333333333333336
201605,송파구,2,9,4,15,50.0
201605,양천구,2,9,5,16,53.333333333333336
201605,영등포구,2,9,5,16,53.333333333333336
201605,용산구,1,8,3,12,40.0
201605,은평구,5,8,3,16,53.333333333333336
201605,종로구,1,9,2,12,40.0
201605,중구,1,9,2,12,40.0
201605,중랑구,4,9,2,15,50.0
201606,강남구,3,9,2,14,46.666666666666664
201606,강동구,2,9,3,14,46.666666666666664
201606,강북구,4,7,4,15,50.0
201606,강서구,6,8,2,16,53.333333333333336
201606,관악구,3,9,2,14,46.666666666666664
201606,광진구,1,9,2,12,40.0
201606,구로구,2,9,2,13,43.333333333333336
201606,금천구,2,8,3,13,43.333333333333336
201606,노원구,7,8,3,18,60.0
201606,도봉구,2,9,2,13,43.333333333333336
201606,동대문구,3,9,2,14,46.666666666666664
201606,동작구,2,9,2,13,43.333333333333336
201606,마포구,2,9,2,13,43.333333333333336
201606,서대문구,2,9,3,14,46.666666666666664
201606,서초구,1,8,4,13,43.333333333333336
201606,성동구,1,8,2,11,36.666666666666664
201606,성북구,3,9,2,14,46.666666666666664
201606,송파구,2,9,2,13,43.333333333333336
201606,양천구,2,9,2,13,43.333333333333336
201606,영등포구,2,6,1,9,30.0
201606,용산구,1,5,1,7,23.333333333333332
201606,은평구,5,6,1,12,40.0
201606,종로구,1,6,1,8,26.666666666666668
201606,중구,1,6,1,8,26.666666666666668
201606,중랑구,4,6,1,11,36.666666666666664
201607,강남구,3,6,1,10,33.33333333333333
201607,강동구,2,4,2,8,26.666666666666668
201607,강북구,4,5,1,10,33.33333333333333
201607,강서구,6,6,1,13,43.333333333333336
201607,관악구,3,6,1,10,33.33333333333333
201607,광진구,1,6,1,8,26.666666666666668
201607,구로구,2,5,2,9,30.0
201607,금천구,2,5,2,9,30.0
201607,노원구,7,6,2,15,50.0
201607,도봉구,2,6,2,10,33.33333333333333
201607,동대문구,3,6,2,11,36.666666666666664
201607,동작구,2,6,2,10,33.33333333333333
201607,마포구,2,5,2,9,30.0
201607,서대문구,2,4,3,9,30.0
201607,서초구,1,5,2,8,26.666666666666668
201607,성동구,1,6,2,9,30.0
201607,성북구,3,6,2,11,36.666666666666664
201607,송파구,2,6,2,10,33.33333333333333
201607,양천구,2,5,1,8,26.666666666666668
201607,영등포구,2,5,1,8,26.666666666666668
201607,용산구,1,6,1,8,26.666666666666668
201607,은평구,5,6,1,12,40.0
201607,종로구,1,6,1,8,26.666666666666668
201607,중구,1,6,1,8,26.666666666666668
201607,중랑구,4,5,1,10,33.33333333333333
201608,강남구,3,2,2,7,23.333333333333332
201608,강동구,2,5,1,8,26.666666666666668
201608,강북구,4,6,1,11,36.666666666666664
201608,강서구,6,6,1,13,43.333333333333336
201608,관악구,3,6,1,10,33.33333333333333
201608,광진구,1,5,1,7,23.333333333333332
201608,구로구,2,5,1,8,26.666666666666668
201608,금천구,2,6,1,9,30.0
201608,노원구,7,6,1,14,46.666666666666664
201608,도봉구,2,6,1,9,30.0
201608,동대문구,3,6,1,10,33.33333333333333
201608,동작구,2,5,1,8,26.666666666666668
201608,마포구,2,3,2,7,23.333333333333332
201608,서대문구,2,4,1,7,23.333333333333332
201608,서초구,1,6,1,8,26.666666666666668
201608,성동구,1,6,1,8,26.666666666666668
201608,성북구,3,6,1,10,33.33333333333333
201608,송파구,2,7,4,13,43.333333333333336
201608,양천구,2,6,4,12,40.0
201608,영등포구,2,7,4,13,43.333333333333336
201608,용산구,1,7,4,12,40.0
201608,은평구,5,7,3,15,50.0
201608,종로구,1,7,3,11,36.666666666666664
201608,중구,1,7,4,12,40.0
201608,중랑구,4,5,6,15,50.0
201609,강남구,3,6,3,12,40.0
201609,강동구,2,7,3,12,40.0
201609,강북구,4,7,3,14,46.666666666666664
201609,강서구,6,7,3,16,53.333333333333336
201609,관악구,3,7,2,12,40.0
201609,광진구,1,6,2,9,30.0
201609,구로구,2,7,1,10,33.33333333333333
201609,금천구,2,7,1,10,33.33333333333333
201609,노원구,7,7,1,15,50.0
201609,도봉구,2,7,1,10,33.33333333333333
201609,동대문구,3,6,2,11,36.666666666666664
201609,동작구,2,5,2,9,30.0
201609,마포구,2,7,1,10,33.33333333333333
201609,서대문구,2,7,1,10,33.33333333333333
201609,서초구,1,7,1,9,30.0
201609,성동구,1,7,1,9,30.0
201609,성북구,3,6,4,13,43.333333333333336
201609,송파구,2,6,4,12,40.0
201609,양천구,2,7,3,12,40.0
201609,영등포구,2,7,3,12,40.0
201609,용산구,1,7,3,11,36.666666666666664
201609,은평구,5,7,3,15,50.0
201609,종로구,1,6,4,11,36.666666666666664
201609,중구,1,4,7,12,40.0
201609,중랑구,4,6,3,13,43.333333333333336
201610,강남구,3,7,3,13,43.333333333333336
201610,강동구,2,7,3,12,40.0
201610,강북구,4,7,3,14,46.666666666666664
201610,강서구,6,6,1,13,43.333333333333336
201610,관악구,3,6,1,10,33.33333333333333
201610,광진구,1,7,1,9,30.0
201610,구로구,2,7,1,10,33.33333333333333
201610,금천구,2,7,1,10,33.33333333333333
201610,노원구,7,7,1,15,50.0
201610,도봉구,2,7,1,10,33.33333333333333
201610,동대문구,3,5,1,9,30.0
201610,동작구,2,6,1,9,30.0
201610,마포구,2,7,1,10,33.33333333333333
201610,서대문구,2,7,1,10,33.33333333333333
201610,서초구,1,7,1,9,30.0
201610,성동구,1,8,1,10,33.33333333333333
201610,성북구,3,8,1,12,40.0
201610,송파구,2,8,1,11,36.666666666666664
201610,양천구,2,8,1,11,36.666666666666664
201610,영등포구,2,9,1,12,40.0
201610,용산구,1,8,1,10,33.33333333333333
201610,은평구,5,8,1,14,46.666666666666664
201610,종로구,1,7,1,9,30.0
201610,중구,1,8,1,10,33.33333333333333
201610,중랑구,4,9,1,14,46.666666666666664
201611,강남구,3,8,1,12,40.0
201611,강동구,2,8,1,11,36.666666666666664
201611,강북구,4,8,7,19,63.33333333333333
201611,강서구,6,8,7,21,70.0
201611,관악구,3,9,6,18,60.0
201611,광진구,1,8,6,15,50.0
201611,구로구,2,9,5,16,53.333333333333336
201611,금천구,2,9,5,16,53.333333333333336
201611,노원구,7,8,6,21,70.0
201611,도봉구,2,7,10,19,63.33333333333333
201611,동대문구,3,8,5,16,53.333333333333336
201611,동작구,2,9,5,16,53.333333333333336
201611,마포구,2,8,6,16,53.333333333333336
201611,서대문구,2,8,6,16,53.333333333333336
201611,서초구,1,8,1,10,33.33333333333333
201611,성동구,1,8,1,10,33.33333333333333
201611,성북구,3,8,1,12,40.0
201611,송파구,2,8,1,11,36.666666666666664
201611,양천구,2,9,1,12,40.0
201611,영등포구,2,8,1,11,36.666666666666664
201611,용산구,1,8,1,10,33.33333333333333
201611,은평구,5,6,1,12,40.0
201611,종로구,1,8,1,10,33.33333333333333
201611,중구,1,9,1,11,36.666666666666664
201611,중랑구,4,8,1,13,43.333333333333336
201612,강남구,3,8,1,12,40.0
201612,강동구,2,8,1,11,36.666666666666664
201612,강북구,4,8,1,13,43.333333333333336
201612,강서구,6,9,1,16,53.333333333333336
201612,관악구,3,8,1,12,40.0
201612,광진구,1,9,1,11,36.666666666666664
201612,구로구,2,8,1,11,36.666666666666664
201612,금천구,2,8,1,11,36.666666666666664
201612,노원구,7,7,1,15,50.0
201612,도봉구,2,8,1,11,36.666666666666664
201612,동대문구,3,8,1,12,40.0
201612,동작구,2,8,1,11,36.666666666666664
201612,마포구,2,8,1,11,36.666666666666664
201612,서대문구,2,7,5,14,46.666666666666664
201612,서초구,1,7,5,13,43.333333333333336
201612,성동구,1,8,4,13,43.333333333333336
201612,성북구,3,8,4,15,50.0
201612,송파구,2,8,4,14,46.666666666666664
201612,양천구,2,8,4,14,46.666666666666664
201612,영등포구,2,7,5,14,46.666666666666664
201612,용산구,1,6,8,15,50.0
201612,은평구,5,7,3,15,50.0
201612,종로구,1,8,4,13,43.333333333333336
201612,중구,1,8,4,13,43.333333333333336
201612,중랑구,4,7,4,15,50.0
201701,강남구,3,7,1,11,36.666666666666664
201701,강동구,2,7,1,10,33.33333333333333
201701,강북구,4,8,1,13,43.333333333333336
201701,강서구,6,8,1,15,50.0
201701,관악구,3,8,1,12,40.0
201701,광진구,1,8,1,10,33.33333333333333
201701,구로구,2,7,1,10,33.33333333333333
201701,금천구,2,6,1,9,30.0
201701,노원구,7,7,1,15,50.0
201701,도봉구,2,8,1,11,36.666666666666664
201701,동대문구,3,8,1,12,40.0
201701,동작구,2,7,1,10,33.33333333333333
201701,마포구,2,7,2,11,36.666666666666664
201701,서대문구,2,7,2,11,36.666666666666664
201701,서초구,1,8,2,11,36.666666666666664
201701,성동구,1,8,2,11,36.666666666666664
201701,성북구,3,8,2,13,43.333333333333336
201701,송파구,2,8,2,12,40.0
201701,양천구,2,7,2,11,36.666666666666664
201701,영등포구,2,5,3,10,33.33333333333333
201701,용산구,1,7,2,10,33.33333333333333
201701,은평구,5,8,2,15,50.0
201701,종로구,1,8,2,11,36.666666666666664
201701,중구,1,7,2,10,33.33333333333333
201701,중랑구,4,7,5,16,53.333333333333336
201702,강남구,3,7,5,15,50.0
201702,강동구,2,8,4,14,46.666666666666664
201702,강북구,4,8,4,16,53.333333333333336
201702,강서구,6,8,4,18,60.0
201702,관악구,3,8,4,15,50.0
201702,광진구,1,7,5,13,43.333333333333336
201702,구로구,2,6,7,15,50.0
201702,금천구,2,7,5,14,46.666666666666664
201702,노원구,7,8,4,19,63.33333333333333
201702,도봉구,2,8,4,14,46.666666666666664
201702,동대문구,3,7,5,15,50.0
201702,동작구,2,9,2,13,43.333333333333336
201702,마포구,2,9,2,13,43.333333333333336
201702,서대문구,2,10,1,13,43.333333333333336
201702,서초구,1,10,1,12,40.0
201702,성동구,1,10,1,12,40.0
201702,성북구,3,10,1,14,46.666666666666664
201702,송파구,2,10,2,14,46.666666666666664
201702,양천구,2,9,2,13,43.333333333333336
201702,영등포구,2,9,1,12,40.0
201702,용산구,1,10,1,12,40.0
201702,은평구,5,10,1,16,53.333333333333336
201702,종로구,1,10,1,12,40.0
201702,중구,1,9,4,14,46.666666666666664
201702,중랑구,4,9,4,17,56.666666666666664
201703,강남구,3,10,3,16,53.333333333333336
201703,강동구,2,10,3,15,50.0
201703,강북구,4,10,3,17,56.666666666666664
201703,강서구,6,10,3,19,63.33333333333333
201703,관악구,3,9,4,16,53.333333333333336
201703,광진구,1,9,5,15,50.0
201703,구로구,2,9,3,14,46.666666666666664
201703,금천구,2,10,3,15,50.0
201703,노원구,7,10,3,20,66.66666666666666
201703,도봉구,2,9,3,14,46.666666666666664
201703,동대문구,3,9,3,15,50.0
201703,동작구,2,9,3,14,46.666666666666664
201703,마포구,2,10,2,14,46.666666666666664
201703,서대문구,2,10,2,14,46.666666666666664
201703,서초구,1,10,2,13,43.333333333333336
201703,성동구,1,10,2,13,43.333333333333336
201703,성북구,3,9,3,15,50.0
201703,송파구,2,8,4,14,46.666666666666664
201703,양천구,2,9,3,14,46.666666666666664
201703,영등포구,2,10,2,14,46.666666666666664
201703,용산구,1,10,2,13,43.333333333333336
201703,은평구,5,9,2,16,53.333333333333336
201703,종로구,1,9,1,11,36.666666666666664
201703,중구,1,9,2,12,40.0
201703,중랑구,4,10,1,15,50.0
201704,강남구,3,9,1,13,43.333333333333336
201704,강동구,2,10,1,13,43.333333333333336
201704,강북구,4,10,1,15,50.0
201704,강서구,6,9,2,17,56.666666666666664
201704,관악구,3,9,2,14,46.666666666666664
201704,광진구,1,9,1,11,36.666666666666664
201704,구로구,2,10,1,13,43.333333333333336
201704,금천구,2,10,1,13,43.333333333333336
201704,노원구,7,9,1,17,56.666666666666664
201704,도봉구,2,6,1,9,30.0
201704,동대문구,3,6,1,10,33.33333333333333
201704,동작구,2,7,1,10,33.33333333333333
201704,마포구,2,7,1,10,33.33333333333333
201704,서대문구,2,7,1,10,33.33333333333333
201704,서초구,1,7,1,9,30.0
201704,성동구,1,6,1,8,26.666666666666668
201704,성북구,3,5,1,9,30.0
201704,송파구,2,6,1,9,30.0
201704,양천구,2,7,1,10,33.33333333333333
201704,영등포구,2,7,1,10,33.33333333333333
201704,용산구,1,6,1,8,26.666666666666668
201704,은평구,5,6,4,15,50.0
201704,종로구,1,6,4,11,36.666666666666664
201704,중구,1,7,3,11,36.666666666666664
201704,중랑구,4,7,3,14,46.666666666666664
201705,강남구,3,7,3,13,43.333333333333336
201705,강동구,2,7,3,12,40.0
201705,강북구,4,6,4,14,46.666666666666664
201705,강서구,6,5,5,16,53.333333333333336
201705,관악구,4,7,3,14,46.666666666666664
201705,광진구,1,7,3,11,36.666666666666664
201705,구로구,2,7,3,12,40.0
201705,금천구,2,6,3,11,36.666666666666664
201705,노원구,7,6,5,18,60.0
201705,도봉구,2,6,5,13,43.333333333333336
201705,동대문구,3,7,4,14,46.666666666666664
201705,동작구,2,7,4,13,43.333333333333336
201705,마포구,2,7,4,13,43.333333333333336
201705,서대문구,2,7,4,13,43.333333333333336
201705,서초구,1,6,5,12,40.0
201705,성동구,1,4,6,11,36.666666666666664
201705,성북구,3,6,4,13,43.333333333333336
201705,송파구,2,7,4,13,43.333333333333336
201705,양천구,2,7,4,13,43.333333333333336
201705,영등포구,2,7,4,13,43.333333333333336
201705,용산구,1,6,2,9,30.0
201705,은평구,5,6,2,13,43.333333333333336
201705,종로구,1,7,2,10,33.33333333333333
201705,중구,1,7,2,10,33.33333333333333
201705,중랑구,4,7,2,13,43.333333333333336
201706,강남구,3,7,2,12,40.0
201706,강동구,2,7,2,11,36.666666666666664
201706,강북구,4,5,3,12,40.0
201706,강서구,6,6,2,14,46.666666666666664
201706,관악구,4,7,2,13,43.333333333333336
201706,광진구,1,7,2,10,33.33333333333333
201706,구로구,2,7,2,11,36.666666666666664
201706,금천구,2,8,3,13,43.333333333333336
201706,노원구,7,8,3,18,60.0
201706,도봉구,2,9,2,13,43.333333333333336
201706,동대문구,3,9,2,14,46.666666666666664
201706,동작구,2,9,2,13,43.333333333333336
201706,마포구,2,9,2,13,43.333333333333336
201706,서대문구,2,9,3,14,46.666666666666664
201706,서초구,1,7,3,11,36.666666666666664
201706,성동구,1,8,2,11,36.666666666666664
201706,성북구,3,9,2,14,46.666666666666664
201706,송파구,2,9,2,13,43.333333333333336
201706,양천구,2,9,2,13,43.333333333333336
201706,영등포구,2,8,1,11,36.666666666666664
201706,용산구,1,8,1,10,33.33333333333333
201706,은평구,5,9,1,15,50.0
201706,종로구,1,9,1,11,36.666666666666664
201706,중구,1,9,1,11,36.666666666666664
201706,중랑구,4,9,1,14,46.666666666666664
201707,강남구,3,8,1,12,40.0
201707,강동구,2,8,2,12,40.0
201707,강북구,4,9,1,14,46.666666666666664
201707,강서구,6,9,1,16,53.333333333333336
201707,관악구,4,9,1,14,46.666666666666664
201707,광진구,1,8,1,10,33.33333333333333
201707,구로구,2,8,2,12,40.0
201707,금천구,2,8,2,12,40.0
201707,노원구,7,9,2,18,60.0
201707,도봉구,2,9,2,13,43.333333333333336
201707,동대문구,3,9,2,14,46.666666666666664
201707,동작구,2,9,2,13,43.333333333333336
201707,마포구,2,8,2,12,40.0
201707,서대문구,2,7,2,11,36.666666666666664
201707,서초구,1,8,2,11,36.666666666666664
201707,성동구,1,9,2,12,40.0
201707,성북구,3,9,2,14,46.666666666666664
201707,송파구,2,8,2,12,40.0
201707,양천구,2,8,1,11,36.666666666666664
201707,영등포구,2,8,1,11,36.666666666666664
201707,용산구,1,9,1,11,36.666666666666664
201707,은평구,5,9,1,15,50.0
201707,종로구,1,9,1,11,36.666666666666664
201707,중구,1,9,1,11,36.666666666666664
201707,중랑구,4,9,1,14,46.666666666666664
201708,강남구,3,7,1,11,36.666666666666664
201708,강동구,2,8,1,11,36.666666666666664
201708,강북구,4,9,1,14,46.666666666666664
201708,강서구,6,9,1,16,53.333333333333336
201708,관악구,4,9,1,14,46.666666666666664
201708,광진구,1,8,1,10,33.33333333333333
201708,구로구,2,8,1,11,36.666666666666664
201708,금천구,2,8,1,11,36.666666666666664
201708,노원구,7,8,1,16,53.333333333333336
201708,도봉구,2,8,1,11,36.666666666666664
201708,동대문구,3,8,1,12,40.0
201708,동작구,2,8,1,11,36.666666666666664
201708,마포구,2,7,2,11,36.666666666666664
201708,서대문구,2,7,1,10,33.33333333333333
201708,서초구,1,8,1,10,33.33333333333333
201708,성동구,1,8,1,10,33.33333333333333
201708,성북구,3,8,1,12,40.0
201708,송파구,2,8,3,13,43.333333333333336
201708,양천구,2,8,3,13,43.333333333333336
201708,영등포구,2,8,3,13,43.333333333333336
201708,용산구,1,8,3,12,40.0
201708,은평구,5,8,3,16,53.333333333333336
201708,종로구,1,8,3,12,40.0
201708,중구,1,8,3,12,40.0
201708,중랑구,4,7,5,16,53.333333333333336
201709,강남구,3,8,3,14,46.666666666666664
201709,강동구,2,8,3,13,43.333333333333336
201709,강북구,4,8,3,15,50.0
201709,강서구,6,8,3,17,56.666666666666664
201709,관악구,4,8,1,13,43.333333333333336
201709,광진구,1,8,1,10,33.33333333333333
201709,구로구,2,8,1,11,36.666666666666664
201709,금천구,2,8,1,11,36.666666666666664
201709,노원구,8,8,1,17,56.666666666666664
201709,도봉구,2,8,1,11,36.666666666666664
201709,동대문구,3,8,1,12,40.0
201709,동작구,2,5,2,9,30.0
201709,마포구,2,7,1,10,33.33333333333333
201709,서대문구,2,8,1,11,36.666666666666664
201709,서초구,1,8,1,10,33.33333333333333
201709,성동구,1,8,1,10,33.33333333333333
201709,성북구,3,8,3,14,46.666666666666664
201709,송파구,2,8,3,13,43.333333333333336
201709,양천구,2,8,3,13,43.333333333333336
201709,영등포구,2,8,3,13,43.333333333333336
201709,용산구,1,8,3,12,40.0
201709,은평구,5,8,3,16,53.333333333333336
201709,종로구,1,8,4,13,43.333333333333336
201709,중구,1,7,5,13,43.333333333333336
201709,중랑구,4,7,3,14,46.666666666666664
201710,강남구,3,8,3,14,46.666666666666664
201710,강동구,2,8,3,13,43.333333333333336
201710,강북구,4,8,3,15,50.0
201710,강서구,6,8,1,15,50.0
201710,관악구,4,8,1,13,43.333333333333336
201710,광진구,1,8,1,10,33.33333333333333
201710,구로구,2,8,1,11,36.666666666666664
201710,금천구,2,8,1,11,36.666666666666664
201710,노원구,8,8,1,17,56.666666666666664
201710,도봉구,2,8,1,11,36.666666666666664
201710,동대문구,3,7,1,11,36.666666666666664
201710,동작구,2,7,1,10,33.33333333333333
201710,마포구,2,8,1,11,36.666666666666664
201710,서대문구,2,8,1,11,36.666666666666664
201710,서초구,1,8,1,10,33.33333333333333
201710,성동구,1,8,1,10,33.33333333333333
201710,성북구,3,8,1,12,40.0
201710,송파구,2,8,1,11,36.666666666666664
201710,양천구,2,8,1,11,36.666666666666664
201710,영등포구,2,8,1,11,36.666666666666664
201710,용산구,1,8,1,10,33.33333333333333
201710,은평구,5,8,1,14,46.666666666666664
201710,종로구,1,7,1,9,30.0
201710,중구,1,8,1,10,33.33333333333333
201710,중랑구,4,8,1,13,43.333333333333336
201711,강남구,3,8,1,12,40.0
201711,강동구,2,8,1,11,36.666666666666664
201711,강북구,4,8,5,17,56.666666666666664
201711,강서구,6,8,5,19,63.33333333333333
201711,관악구,4,8,4,16,53.333333333333336
201711,광진구,1,8,5,14,46.666666666666664
201711,구로구,2,8,4,14,46.666666666666664
201711,금천구,2,8,4,14,46.666666666666664
201711,노원구,8,8,5,21,70.0
201711,도봉구,2,6,7,15,50.0
201711,동대문구,3,7,5,15,50.0
201711,동작구,2,8,4,14,46.666666666666664
201711,마포구,2,8,4,14,46.666666666666664
201711,서대문구,2,8,5,15,50.0
201711,서초구,1,8,1,10,33.33333333333333
201711,성동구,1,8,1,10,33.33333333333333
201711,성북구,3,8,1,12,40.0
201711,송파구,2,8,1,11,36.666666666666664
201711,양천구,2,8,1,11,36.666666666666664
201711,영등포구,2,8,1,11,36.666666666666664
201711,용산구,1,8,1,10,33.33333333333333
201711,은평구,5,6,1,12,40.0
201711,종로구,1,7,1,9,30.0
201711,중구,1,8,1,10,33.33333333333333
201711,중랑구,4,8,1,13,43.333333333333336
201712,강남구,3,8,1,12,40.0
201712,강동구,2,7,1,10,33.33333333333333
201712,강북구,4,7,1,12,40.0
201712,강서구,6,8,1,15,50.0
201712,관악구,4,8,1,13,43.333333333333336
201712,광진구,1,8,1,10,33.33333333333333
201712,구로구,2,8,1,11,36.666666666666664
201712,금천구,2,7,1,10,33.33333333333333
201712,노원구,8,6,1,15,50.0
201712,도봉구,2,7,1,10,33.33333333333333
201712,동대문구,3,8,1,12,40.0
201712,동작구,2,8,1,11,36.666666666666664
201712,마포구,2,8,1,11,36.666666666666664
201712,서대문구,2,7,4,13,43.333333333333336
201712,서초구,1,7,4,12,40.0
201712,성동구,1,8,4,13,43.333333333333336
201712,성북구,3,8,4,15,50.0
201712,송파구,2,8,3,13,43.333333333333336
201712,양천구,2,8,3,13,43.333333333333336
201712,영등포구,2,7,4,13,43.333333333333336
201712,용산구,1,6,6,13,43.333333333333336
